stat,player,which,line,roi_highest,count,over,site,under,datetime,time
"Total Points, Rebounds And Assists",Kentavious Caldwell-Pope,OVER,18.5,0.04205471947407442,2,-120.0,BOV,-110.0,2022-03-04 13:57:11.795411,2022-03-04 13:57:11.896181
Total Points,Clint Capela,OVER,10.5,0.041576087847519365,2,-110.0,BOV,-120.0,2022-03-04 13:57:11.795411,2022-03-04 13:57:11.896181
Total Made 3 Point Shots,Grayson Allen,OVER,1.5,0.03393791031489927,2,-120.0,BOV,-110.0,2022-03-04 13:57:11.795411,2022-03-04 13:57:11.896181
"Total Points, Rebounds And Assists",DeMar DeRozan,UNDER,40.5,0.027282702558808443,2,-105.0,BOV,-125.0,2022-03-04 13:57:11.795411,2022-03-04 13:57:11.896181
Total Assists,Clint Capela,OVER,1.5,0.06493643508994025,2,167.0,GB,-223.0,2022-03-04 13:57:11.861892,2022-03-04 13:57:11.896181
Total Assists,De'Andre Hunter,OVER,1.5,0.056986343059306784,2,171.0,GB,-228.0,2022-03-04 13:57:11.861892,2022-03-04 13:57:11.896181
Total Made 3 Point Shots,Will Barton,UNDER,1.5,0.05178984619572617,2,-179.0,GB,137.0,2022-03-04 13:57:11.861892,2022-03-04 13:57:11.896181
Total Assists,Grayson Allen,OVER,1.5,0.04771499734139298,2,158.0,GB,-209.0,2022-03-04 13:57:11.861892,2022-03-04 13:57:11.896181
Total Made 3 Point Shots,Eric Gordon,UNDER,1.5,0.036752363282975535,2,-173.0,GB,131.0,2022-03-04 13:57:11.861892,2022-03-04 13:57:11.896181
Total Rebounds,Darius Garland,OVER,3.5,0.03591711914123452,2,110.0,GB,-143.0,2022-03-04 13:57:11.861892,2022-03-04 13:57:11.896181
Total Made 3 Point Shots,Kentavious Caldwell-Pope,UNDER,1.5,0.03273007316134002,2,-193.0,GB,145.0,2022-03-04 13:57:11.861892,2022-03-04 13:57:11.896181
Total Assists,Isaiah Jackson,OVER,0.5,0.02985181473262226,2,129.0,GB,-170.0,2022-03-04 13:57:11.861892,2022-03-04 13:57:11.896181
Total Assists,Isaac Okoro,OVER,1.5,0.028638028638028643,2,131.0,GB,-173.0,2022-03-04 13:57:11.861892,2022-03-04 13:57:11.896181
